dataid,total_square_footage,first_floor_square_footage,second_floor_square_footage
2323,3257,1540,1717
6133,816,,
5356,832,,
457,627,,
3678,838,,
4544,627,,
1331,1021,,
9931,816,,
5539,816,,
22,816,,
765,606,,
1105,816,,
1479,606,,
1889,1024,,
3705,2232,2232,0
4296,2036,793,1243
499,1709,1709,0
5959,1913,863,1050
5060,1133,1133,0
7491,627,,
7703,627,,
7984,832,,
5317,1776,852,924
9642,627,,
4856,627,,
6378,1962,1962,
8370,,,
7408,832,,
4967,627,,
4383,627,,
3806,627,,
3032,832,,
2247,816,,
878,629,,
4800,606,,
7512,816,,
1069,606,,
3425,816,,
3484,1021,,
9195,816,,
1577,832,,
3721,832,,
297,832,,
6165,1140,980,160
9176,2689,1609,1080
9605,2260,2260,
3200,2527,2527,
2360,627,,
5778,2420,2420,
7617,2765,2765,
59,3825,2705,1120
7090,2655,2655,
7597,,,
111,1960,1960,
4408,,,
4561,4308,3148,1160
4728,3247,2105,1142
5673,1900,1900,0
8282,2023,2023,
280,1743,702,702
275,2027,2027,
4944,1426,1426,
8107,2071,972,1099
5938,1464,,
5909,720,720,
54,,,
3938,1120,1120,
8061,1555,,
6497,2050,,
101,1459,602,857
1035,1753,1753,
5586,,,
6502,,,
6787,,,
9711,,,
6689,,,
8736,3049,1813,1236
4329,,,
6152,,,
8574,,,
7114,1401,,
3687,,,
7062,1401,,
8733,,,
9213,,,
9775,1405,1405,
4015,,,
807,,,
2559,,,
3916,1547,1547,0
4035,3189,1492,1697
4495,1087,1087,
5805,1544,1168,376
6383,,,
7321,,,
1410,,,
6995,,,
7077,,,
7363,,,
9116,,,
4776,627,,
9674,629,,
8183,629,,
3947,,,
1845,816,,
3143,816,,
48,606,,
508,606,,
3883,816,,
6078,1024,,
7436,816,,
2907,627,,
3873,629,,
9215,,,
2472,,,
2848,1452,1452,
1199,,,
8023,,,
6770,,,
9197,,,
6377,,,
6268,,,
5728,713,,
3443,751,,
7549,750,,
7671,,,
4000,751,,
1037,1001,,
645,750,,
267,751,,
1310,713,,
3268,1001,,
3273,1001,,
9912,751,,
5009,1088,1088,
2412,1760,,
2606,1390,,
3864,1464,,
5994,627,,
1500,750,,
1617,1924,,
3214,750,,
3426,751,,
6108,751,,
491,751,,
9745,6516,3015,3501
1078,,,
8817,,,
8946,,,
3299,825,,
1450,1575,,
5397,2720,2720,
8168,1452,,
9038,3282,1930,1352
2401,1079,,
1731,1555,,
4342,1316,1316,
8342,1401,,
9647,2887,1795,1092
2942,,,
3221,4798,2105,2693
9206,2589,1778,811
6614,750,,
4022,751,,
4053,751,,
115,1001,,
4934,1547,,
4633,1472,816,656
894,,,
2113,,,
7587,975,,
243,975,,
8942,975,,
8986,975,,
